江西电信-组播1,#genre#
河南卫视,http://220.176.218.232:9000/udp/239.252.220.189:5140$江西电信
山西卫视,http://220.176.218.232:9000/udp/239.252.219.27:5140$江西电信
青海卫视,http://220.176.218.232:9000/udp/239.252.219.46:5140$江西电信
陕西卫视,http://220.176.218.232:9000/udp/239.252.219.105:5140$江西电信
内蒙古卫视,http://220.176.218.232:9000/udp/239.252.219.48:5140$江西电信
厦门卫视,http://220.176.218.232:9000/udp/239.252.219.75:5140$江西电信
三沙卫视,http://220.176.218.232:9000/udp/239.252.219.76:5140$江西电信
新疆卫视,http://220.176.218.232:9000/udp/239.252.219.100:5140$江西电信
兵团卫视,http://220.176.218.232:9000/udp/239.252.219.107:5140$江西电信
山东教育卫视,http://220.176.218.232:9000/udp/239.252.219.74:5140$江西电信
CETV1,http://220.176.218.232:9000/udp/239.252.220.198:5140$江西电信
CETV2,http://220.176.218.232:9000/udp/239.252.219.73:5140$江西电信
CETV4,http://220.176.218.232:9000/udp/239.252.219.169:5140$江西电信
金鹰卡通,http://220.176.218.232:9000/udp/239.252.219.69:5140$江西电信
金鹰纪实,http://220.176.218.232:9000/udp/239.252.220.155:5140$江西电信
茶频道,http://220.176.218.232:9000/udp/239.252.220.160:5140$江西电信
快乐垂钓,http://220.176.218.232:9000/udp/239.252.220.177:5140$江西电信
河南梨园频道,http://220.176.218.232:9000/udp/239.252.220.179:5140$江西电信
河南武术世界,http://220.176.218.232:9000/udp/239.252.220.180:5140$江西电信
河南文物宝库,http://220.176.218.232:9000/udp/239.252.220.158:5140$江西电信
CCTV-4欧洲,http://220.176.218.232:9000/udp/239.252.219.192:5140$江西电信
CCTV-4美洲,http://220.176.218.232:9000/udp/239.252.219.193:5140$江西电信
CGTN英语,http://220.176.218.232:9000/udp/239.252.219.194:5140$江西电信
CGTN纪录,http://220.176.218.232:9000/udp/239.252.219.195:5140$江西电信
CGTN西班牙语,http://220.176.218.232:9000/udp/239.252.219.196:5140$江西电信
CGTN法语,http://220.176.218.232:9000/udp/239.252.219.65:5140$江西电信
CGTN俄语,http://220.176.218.232:9000/udp/239.252.219.67:5140$江西电信
