云南电信-组播1,#genre#
德宏陇川,http://106.59.2.113:55555/udp/239.200.200.150:8650$云南电信
文山富宁,http://106.59.2.113:55555/udp/239.200.201.140:8492$云南电信
文山广南,http://106.59.2.113:55555/udp/239.200.201.191:8488$云南电信
文山综合,http://106.59.2.113:55555/udp/239.200.200.124:8650$云南电信
文山西畴,http://106.59.2.113:55555/udp/239.200.201.82:8662$云南电信
文山马关,http://106.59.2.113:55555/udp/239.200.201.93:8256$云南电信
文山麻栗坡,http://106.59.2.113:55555/udp/239.200.201.190:8480$云南电信
昆明宜良县,http://106.59.2.113:55555/udp/239.200.200.188:8608$云南电信
昆明影视综艺,http://106.59.2.113:55555/udp/239.200.200.114:8516$云南电信
昆明教育,http://106.59.2.113:55555/udp/239.200.201.144:8844$云南电信
昆明春城民生,http://106.59.2.113:55555/udp/239.200.200.115:8520$云南电信
昆明晋宁区,http://106.59.2.113:55555/udp/239.200.200.192:8624$云南电信
昆明科学教育,http://106.59.2.113:55555/udp/239.200.200.112:8508$云南电信
昆明经济生活,http://106.59.2.113:55555/udp/239.200.200.16:8504$云南电信
昆明综合,http://106.59.2.113:55555/udp/239.200.200.17:8500$云南电信
昭通3,http://106.59.2.113:55555/udp/239.200.200.164:8152$云南电信
昭通大关,http://106.59.2.113:55555/udp/239.200.200.208:8190$云南电信
昭通威信,http://106.59.2.113:55555/udp/239.200.200.226:8214$云南电信
昭通盐津,http://106.59.2.113:55555/udp/239.200.200.203:8198$云南电信
昭通绥江县,http://106.59.2.113:55555/udp/239.200.200.189:8206$云南电信
普洱墨江,http://106.59.2.113:55555/udp/239.200.201.200:8440$云南电信
普洱孟连,http://106.59.2.113:55555/udp/239.200.201.163:8460$云南电信
普洱宁洱,http://106.59.2.113:55555/udp/239.200.201.153:8436$云南电信
普洱思茅区,http://106.59.2.113:55555/udp/239.200.200.182:8432$云南电信
普洱景东,http://106.59.2.113:55555/udp/239.200.200.180:8444$云南电信
普洱景谷县,http://106.59.2.113:55555/udp/239.200.200.185:8448$云南电信
普洱江城,http://106.59.2.113:55555/udp/239.200.201.165:8456$云南电信
普洱澜沧,http://106.59.2.113:55555/udp/239.200.201.162:8464$云南电信
普洱电视,http://106.59.2.113:55555/udp/239.200.200.138:8804$云南电信
普洱综合,http://106.59.2.113:55555/udp/239.200.200.126:8800$云南电信
普洱西盟,http://106.59.2.113:55555/udp/239.200.201.149:8468$云南电信
普洱镇沅,http://106.59.2.113:55555/udp/239.200.201.160:8452$云南电信
曲靖会泽,http://106.59.2.113:55555/udp/239.200.201.84:8156$云南电信
曲靖师宗,http://106.59.2.113:55555/udp/239.200.201.110:8140$云南电信
曲靖沾益,http://106.59.2.113:55555/udp/239.200.201.188:8108$云南电信
曲靖罗平县,http://106.59.2.113:55555/udp/239.200.201.73:8124$云南电信
曲靖马龙,http://106.59.2.113:55555/udp/239.200.201.152:8164$云南电信
未识别,http://106.59.2.113:55555/udp/239.200.200.207:8896$云南电信
楚雄双柏,http://106.59.2.113:55555/udp/239.200.201.17:8734$云南电信
楚雄大姚,http://106.59.2.113:55555/udp/239.200.201.16:8766$云南电信
楚雄姚安,http://106.59.2.113:55555/udp/239.200.201.134:8324$云南电信
楚雄武定,http://106.59.2.113:55555/udp/239.200.201.117:8328$云南电信
楚雄永仁县,http://106.59.2.113:55555/udp/239.200.201.76:8814$云南电信
楚雄综合,http://106.59.2.113:55555/udp/239.200.200.116:8708$云南电信
澜湄国际,http://106.59.2.113:55555/udp/239.200.200.33:8024$云南电信
玉溪元江,http://106.59.2.113:55555/udp/239.200.201.150:8540$云南电信
