2026/02/02 19:56更新,#genre#
中国天气,http://113.119.25.235:58888/udp/239.77.1.2:5146$广东电信
CCTV4K,http://113.119.25.235:58888/udp/239.77.0.194:5146$广东电信
CCTV4K,http://113.119.25.235:58888/udp/239.77.1.180:5146$广东电信
CCTV16 4K,http://113.119.25.235:58888/udp/239.77.0.165:5146$广东电信
北京卫视4K,http://113.119.25.235:58888/udp/239.77.0.2:5146$广东电信
北京卫视4K,http://113.119.25.235:58888/udp/239.77.0.3:5146$广东电信
北京卫视4K,http://113.119.25.235:58888/udp/239.77.0.153:5146$广东电信
北京卫视4K,http://113.119.25.235:58888/udp/239.77.0.233:5146$广东电信
北京卫视4K,http://113.119.25.235:58888/udp/239.77.1.13:5146$广东电信
东方卫视4K,http://113.119.25.235:58888/udp/239.77.0.59:5146$广东电信
广东卫视4K,http://113.119.25.235:58888/udp/239.77.0.27:5146$广东电信
广东卫视4K,http://113.119.25.235:58888/udp/239.77.0.65:5146$广东电信
广东卫视4K,http://113.119.25.235:58888/udp/239.77.0.66:5146$广东电信
深圳卫视4K,http://113.119.25.235:58888/udp/239.77.0.67:5146$广东电信
深圳卫视4K,http://113.119.25.235:58888/udp/239.77.1.14:5146$广东电信
湖南卫视4K,http://113.119.25.235:58888/udp/239.77.0.56:5146$广东电信
山东卫视4K,http://113.119.25.235:58888/udp/239.77.0.61:5146$广东电信
四川卫视4K,http://113.119.25.235:58888/udp/239.77.0.60:5146$广东电信
浙江卫视4K,http://113.119.25.235:58888/udp/239.77.0.58:5146$广东电信
江苏卫视4K,http://113.119.25.235:58888/udp/239.77.0.57:5146$广东电信
广东综艺4K,http://113.119.25.235:58888/udp/239.77.0.244:5146$广东电信
广东综艺4K,http://113.119.25.235:58888/udp/239.77.0.245:5146$广东电信
广东综艺4K,http://113.119.25.235:58888/udp/239.77.1.237:5146$广东电信
南国都市4K,http://113.119.25.235:58888/udp/239.253.43.99:5146$广东电信
重庆卫视,http://113.119.25.235:58888/udp/239.77.0.182:5146$广东电信
重庆卫视,http://113.119.25.235:58888/udp/239.77.1.162:5146$广东电信
江苏卫视,http://113.119.25.235:58888/udp/239.77.0.90:5146$广东电信
江苏卫视,http://113.119.25.235:58888/udp/239.77.1.18:5146$广东电信
浙江卫视,http://113.119.25.235:58888/udp/239.77.0.89:5146$广东电信
浙江卫视,http://113.119.25.235:58888/udp/239.77.1.33:5146$广东电信
东方卫视,http://113.119.25.235:58888/udp/239.77.0.98:5146$广东电信
东方卫视,http://113.119.25.235:58888/udp/239.77.1.218:5146$广东电信
深圳卫视,http://113.119.25.235:58888/udp/239.77.0.92:5146$广东电信
深圳卫视,http://113.119.25.235:58888/udp/239.77.0.130:5146$广东电信
深圳卫视,http://113.119.25.235:58888/udp/239.77.1.3:5146$广东电信
深圳卫视,http://113.119.25.235:58888/udp/239.77.1.107:5146$广东电信
深圳卫视,http://113.119.25.235:58888/udp/239.77.1.148:5146$广东电信
北京卫视,http://113.119.25.235:58888/udp/239.77.0.91:5146$广东电信
北京卫视,http://113.119.25.235:58888/udp/239.77.0.232:5146$广东电信
北京卫视,http://113.119.25.235:58888/udp/239.77.1.4:5146$广东电信
北京卫视,http://113.119.25.235:58888/udp/239.77.1.151:5146$广东电信
山东卫视,http://113.119.25.235:58888/udp/239.77.0.94:5146$广东电信
山东卫视,http://113.119.25.235:58888/udp/239.77.1.142:5146$广东电信
天津卫视,http://113.119.25.235:58888/udp/239.77.0.97:5146$广东电信
天津卫视,http://113.119.25.235:58888/udp/239.77.0.131:5146$广东电信
天津卫视,http://113.119.25.235:58888/udp/239.77.1.141:5146$广东电信
天津卫视,http://113.119.25.235:58888/udp/239.77.1.182:5146$广东电信
贵州卫视,http://113.119.25.235:58888/udp/239.77.0.230:5146$广东电信
贵州卫视,http://113.119.25.235:58888/udp/239.77.1.221:5146$广东电信
四川卫视,http://113.119.25.235:58888/udp/239.77.0.159:5146$广东电信
四川卫视,http://113.119.25.235:58888/udp/239.77.1.215:5146$广东电信
云南卫视,http://113.119.25.235:58888/udp/239.253.43.37:5146$广东电信
云南卫视,http://113.119.25.235:58888/udp/239.253.43.100:5146$广东电信
广西卫视,http://113.119.25.235:58888/udp/239.77.0.139:5146$广东电信
广西卫视,http://113.119.25.235:58888/udp/239.253.43.36:5146$广东电信
黑龙江卫视,http://113.119.25.235:58888/udp/239.77.0.93:5146$广东电信
黑龙江卫视,http://113.119.25.235:58888/udp/239.77.0.124:5146$广东电信
黑龙江卫视,http://113.119.25.235:58888/udp/239.77.1.6:5146$广东电信
黑龙江卫视,http://113.119.25.235:58888/udp/239.77.1.179:5146$广东电信
安徽卫视,http://113.119.25.235:58888/udp/239.77.0.183:5146$广东电信
安徽卫视,http://113.119.25.235:58888/udp/239.77.1.92:5146$广东电信
山西卫视,http://113.119.25.235:58888/udp/239.77.0.69:5146$广东电信
山西卫视,http://113.119.25.235:58888/udp/239.77.1.74:5146$广东电信
江西卫视,http://113.119.25.235:58888/udp/239.77.0.149:5146$广东电信
江西卫视,http://113.119.25.235:58888/udp/239.77.1.219:5146$广东电信
湖北卫视,http://113.119.25.235:58888/udp/239.77.0.95:5146$广东电信
湖北卫视,http://113.119.25.235:58888/udp/239.77.0.128:5146$广东电信
湖北卫视,http://113.119.25.235:58888/udp/239.77.1.93:5146$广东电信
湖北卫视,http://113.119.25.235:58888/udp/239.77.1.174:5146$广东电信
陕西卫视,http://113.119.25.235:58888/udp/239.77.0.68:5146$广东电信
陕西卫视,http://113.119.25.235:58888/udp/239.77.1.54:5146$广东电信
东南卫视,http://113.119.25.235:58888/udp/239.77.0.146:5146$广东电信
东南卫视,http://113.119.25.235:58888/udp/239.77.1.104:5146$广东电信
厦门卫视,http://113.119.25.235:58888/udp/239.77.0.96:5146$广东电信
吉林卫视,http://113.119.25.235:58888/udp/239.77.0.150:5146$广东电信
吉林卫视,http://113.119.25.235:58888/udp/239.77.1.111:5146$广东电信
辽宁卫视,http://113.119.25.235:58888/udp/239.77.1.103:5146$广东电信
辽宁卫视,http://113.119.25.235:58888/udp/239.77.0.123:5146$广东电信
内蒙古卫视,http://113.119.25.235:58888/udp/239.77.0.70:5146$广东电信
内蒙古卫视,http://113.119.25.235:58888/udp/239.77.1.55:5146$广东电信
湖南卫视,http://113.119.25.235:58888/udp/239.77.0.88:5146$广东电信
湖南卫视,http://113.119.25.235:58888/udp/239.77.1.5:5146$广东电信
广东卫视,http://113.119.25.235:58888/udp/239.77.0.84:5146$广东电信
广东卫视,http://113.119.25.235:58888/udp/239.77.0.166:5146$广东电信
广东卫视,http://113.119.25.235:58888/udp/239.77.1.19:5146$广东电信
广东卫视,http://113.119.25.235:58888/udp/239.77.1.152:5146$广东电信
大湾区卫视,http://113.119.25.235:58888/udp/239.77.0.215:5146$广东电信
大湾区卫视,http://113.119.25.235:58888/udp/239.77.1.12:5146$广东电信
河南卫视,http://113.119.25.235:58888/udp/239.77.0.17:5146$广东电信
河南卫视,http://113.119.25.235:58888/udp/239.77.1.229:5146$广东电信
河北卫视,http://113.119.25.235:58888/udp/239.77.0.148:5146$广东电信
河北卫视,http://113.119.25.235:58888/udp/239.77.1.214:5146$广东电信
宁夏卫视,http://113.119.25.235:58888/udp/239.77.0.49:5146$广东电信
宁夏卫视,http://113.119.25.235:58888/udp/239.77.0.73:5146$广东电信
宁夏卫视,http://113.119.25.235:58888/udp/239.77.1.28:5146$广东电信
宁夏卫视,http://113.119.25.235:58888/udp/239.77.1.246:5146$广东电信
甘肃卫视,http://113.119.25.235:58888/udp/239.77.0.189:5146$广东电信
甘肃卫视,http://113.119.25.235:58888/udp/239.77.1.57:5146$广东电信
青海卫视,http://113.119.25.235:58888/udp/239.77.1.70:5146$广东电信
