贵州电信-组播1,#genre#
贵州3影视,http://61.159.134.237:4022/udp/238.255.2.200:5999$贵州电信
贵州3影视,http://61.159.134.237:4022/udp/238.255.2.183:5999$贵州电信
贵州电信-组播2,#genre#

CCTV4K,http://61.159.135.207:4022/udp/238.255.2.139:5999$贵州电信
CCTV16 4K,http://61.159.135.207:4022/udp/238.255.2.145:5999$贵州电信
北京卫视4K,http://61.159.135.207:4022/udp/238.255.2.160:5999$贵州电信
北京卫视4K,http://61.159.135.207:4022/udp/238.255.2.149:5999$贵州电信
东方卫视4K,http://61.159.135.207:4022/udp/238.255.2.124:5999$贵州电信
东方卫视4K,http://61.159.135.207:4022/udp/238.255.2.123:5999$贵州电信
广东卫视4K,http://61.159.135.207:4022/udp/238.255.2.46:5999$贵州电信
广东卫视4K,http://61.159.135.207:4022/udp/238.255.2.109:5999$贵州电信
深圳卫视4K,http://61.159.135.207:4022/udp/238.255.2.110:5999$贵州电信
深圳卫视4K,http://61.159.135.207:4022/udp/238.255.2.45:5999$贵州电信
湖南卫视4K,http://61.159.135.207:4022/udp/238.255.2.113:5999$贵州电信
湖南卫视4K,http://61.159.135.207:4022/udp/238.255.2.114:5999$贵州电信
山东卫视4K,http://61.159.135.207:4022/udp/238.255.2.130:5999$贵州电信
山东卫视4K,http://61.159.135.207:4022/udp/238.255.2.138:5999$贵州电信
四川卫视4K,http://61.159.135.207:4022/udp/238.255.2.129:5999$贵州电信
四川卫视4K,http://61.159.135.207:4022/udp/238.255.2.125:5999$贵州电信
浙江卫视4K,http://61.159.135.207:4022/udp/238.255.2.122:5999$贵州电信
浙江卫视4K,http://61.159.135.207:4022/udp/238.255.2.121:5999$贵州电信
江苏卫视4K,http://61.159.135.207:4022/udp/238.255.2.118:5999$贵州电信
江苏卫视4K,http://61.159.135.207:4022/udp/238.255.2.119:5999$贵州电信
CCTV1,http://61.159.135.207:4022/udp/238.255.2.91:5999$贵州电信
CCTV2,http://61.159.135.207:4022/udp/238.255.2.11:5999$贵州电信
CCTV3,http://61.159.135.207:4022/udp/238.255.2.133:5999$贵州电信
CCTV4,http://61.159.135.207:4022/udp/238.255.2.92:5999$贵州电信
CCTV4欧洲,http://61.159.135.207:4022/udp/238.255.2.213:5999$贵州电信
CCTV4美洲,http://61.159.135.207:4022/udp/238.255.2.214:5999$贵州电信
CCTV5,http://61.159.135.207:4022/udp/238.255.2.134:5999$贵州电信
CCTV5+,http://61.159.135.207:4022/udp/238.255.2.185:5999$贵州电信
