上海联通-组播1,#genre#
百事通画面,http://139.227.112.187:8001/udp/233.18.204.165:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.166:5140$上海联通
百事通画面,http://139.227.112.187:8001/udp/233.18.204.167:5140$上海联通
CCTV1,http://139.227.112.187:8001/udp/233.18.204.20:5140$上海联通
CCTV2,http://139.227.112.187:8001/udp/233.18.204.21:5140$上海联通
CCTV3,http://139.227.112.187:8001/udp/233.18.204.22:5140$上海联通
CCTV4,http://139.227.112.187:8001/udp/233.18.204.23:5140$上海联通
CCTV5,http://139.227.112.187:8001/udp/233.18.204.24:5140$上海联通
CCTV6,http://139.227.112.187:8001/udp/233.18.204.25:5140$上海联通
CCTV7,http://139.227.112.187:8001/udp/233.18.204.26:5140$上海联通
CCTV8,http://139.227.112.187:8001/udp/233.18.204.27:5140$上海联通
CCTV9,http://139.227.112.187:8001/udp/233.18.204.40:5140$上海联通
CCTV10,http://139.227.112.187:8001/udp/233.18.204.29:5140$上海联通
CCTV11,http://139.227.112.187:8001/udp/233.18.204.30:5140$上海联通
CCTV12,http://139.227.112.187:8001/udp/233.18.204.31:5140$上海联通
CCTV13,http://139.227.112.187:8001/udp/233.18.204.32:5140$上海联通
CCTV14,http://139.227.112.187:8001/udp/233.18.204.33:5140$上海联通
CCTV15,http://139.227.112.187:8001/udp/233.18.204.34:5140$上海联通
CCTV17,http://139.227.112.187:8001/udp/233.18.204.35:5140$上海联通
CETV1,http://139.227.112.187:8001/udp/233.18.204.153:5140$上海联通
CETV2,http://139.227.112.187:8001/udp/233.18.204.154:5140$上海联通
CGTN,http://139.227.112.187:8001/udp/233.18.204.28:5140$上海联通
法治天地,http://139.227.112.187:8001/udp/233.18.204.12:5140$上海联通
游戏风云,http://139.227.112.187:8001/udp/233.18.204.13:5140$上海联通
金色学堂,http://139.227.112.187:8001/udp/233.18.204.14:5140$上海联通
重庆卫视,http://139.227.112.187:8001/udp/233.18.204.143:5140$上海联通
江苏卫视,http://139.227.112.187:8001/udp/233.18.204.120:5140$上海联通
东方卫视,http://139.227.112.187:8001/udp/233.18.204.1:5140$上海联通
深圳卫视,http://139.227.112.187:8001/udp/233.18.204.146:5140$上海联通
北京卫视,http://139.227.112.187:8001/udp/233.18.204.210:5140$上海联通
北京卫视,http://139.227.112.187:8001/udp/233.18.204.118:5140$上海联通
山东卫视,http://139.227.112.187:8001/udp/233.18.204.125:5140$上海联通
天津卫视,http://139.227.112.187:8001/udp/233.18.204.129:5140$上海联通
贵州卫视,http://139.227.112.187:8001/udp/233.18.204.144:5140$上海联通
四川卫视,http://139.227.112.187:8001/udp/233.18.204.124:5140$上海联通
云南卫视,http://139.227.112.187:8001/udp/233.18.204.136:5140$上海联通
广西卫视,http://139.227.112.187:8001/udp/233.18.204.123:5140$上海联通
黑龙江卫视,http://139.227.112.187:8001/udp/233.18.204.139:5140$上海联通
安徽卫视,http://139.227.112.187:8001/udp/233.18.204.127:5140$上海联通
山西卫视,http://139.227.112.187:8001/udp/233.18.204.132:5140$上海联通
江西卫视,http://139.227.112.187:8001/udp/233.18.204.130:5140$上海联通
湖北卫视,http://139.227.112.187:8001/udp/233.18.204.142:5140$上海联通
旅游卫视,http://139.227.112.187:8001/udp/233.18.204.122:5140$上海联通
陕西卫视,http://139.227.112.187:8001/udp/233.18.204.135:5140$上海联通
东南卫视,http://139.227.112.187:8001/udp/233.18.204.128:5140$上海联通
吉林卫视,http://139.227.112.187:8001/udp/233.18.204.131:5140$上海联通
辽宁卫视,http://139.227.112.187:8001/udp/233.18.204.126:5140$上海联通
内蒙古卫视,http://139.227.112.187:8001/udp/233.18.204.141:5140$上海联通
湖南卫视,http://139.227.112.187:8001/udp/233.18.204.119:5140$上海联通
广东卫视,http://139.227.112.187:8001/udp/233.18.204.138:5140$上海联通
河南卫视,http://139.227.112.187:8001/udp/233.18.204.145:5140$上海联通
河北卫视,http://139.227.112.187:8001/udp/233.18.204.140:5140$上海联通
宁夏卫视,http://139.227.112.187:8001/udp/233.18.204.117:5140$上海联通
甘肃卫视,http://139.227.112.187:8001/udp/233.18.204.137:5140$上海联通
青海卫视,http://139.227.112.187:8001/udp/233.18.204.133:5140$上海联通
新疆卫视,http://139.227.112.187:8001/udp/233.18.204.147:5140$上海联通
西藏卫视,http://139.227.112.187:8001/udp/233.18.204.134:5140$上海联通
兵团卫视,http://139.227.112.187:8001/udp/233.18.204.148:5140$上海联通
三沙卫视,http://139.227.112.187:8001/udp/233.18.204.149:5140$上海联通
延边卫视,http://139.227.112.187:8001/udp/233.18.204.155:5140$上海联通
金鹰卡通,http://139.227.112.187:8001/udp/233.18.204.150:5140$上海联通
嘉佳卡通,http://139.227.112.187:8001/udp/233.18.204.151:5140$上海联通
