山东电信-组播1,#genre#
济南少儿[720x576],http://144.0.57.58:7004/udp/239.21.1.68:5002$山东电信
德州新闻综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.75:5002$山东电信
青岛-5[720x576],http://144.0.57.58:7004/udp/239.21.1.74:5002$山东电信
青岛-4[720x576],http://144.0.57.58:7004/udp/239.21.1.72:5002$山东电信
青岛-3[720x576],http://144.0.57.58:7004/udp/239.21.1.71:5002$山东电信
德州经济生活[1920x1080],http://144.0.57.58:7004/udp/239.21.1.76:5002$山东电信
潍坊经济生活[1920x1080],http://144.0.57.58:7004/udp/239.21.1.78:5002$山东电信
潍坊新闻综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.77:5002$山东电信
日照科教[720x576],http://144.0.57.58:7004/udp/239.21.1.80:5002$山东电信
日照新闻综合[720x576],http://144.0.57.58:7004/udp/239.21.1.79:5002$山东电信
淄博新闻综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.84:5002$山东电信
淄博文旅[720x576],http://144.0.57.58:7004/udp/239.21.1.83:5002$山东电信
东营公共[720x576],http://144.0.57.58:7004/udp/239.21.1.82:5002$山东电信
东营新闻综合[720x576],http://144.0.57.58:7004/udp/239.21.1.81:5002$山东电信
菏泽1[1920x1080],http://144.0.57.58:7004/udp/239.21.1.103:5002$山东电信
夏津公共[1920x1080],http://144.0.57.58:7004/udp/239.21.1.102:5002$山东电信
恒台综合[720x576],http://144.0.57.58:7004/udp/239.21.1.105:5002$山东电信
夏津综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.106:5002$山东电信
淄博民生[720x576],http://144.0.57.58:7004/udp/239.21.1.109:5002$山东电信
长清综合[720x576],http://144.0.57.58:7004/udp/239.21.1.107:5002$山东电信
沂源综合[720x576],http://144.0.57.58:7004/udp/239.21.1.114:5002$山东电信
居家购物[1920x1080],http://144.0.57.58:7004/udp/239.21.1.112:5002$山东电信
烟台新闻综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.116:5002$山东电信
烟台公共[720x576],http://144.0.57.58:7004/udp/239.21.1.117:5002$山东电信
滨州新闻综合[720x576],http://144.0.57.58:7004/udp/239.21.1.118:5002$山东电信
滨州民生[720x576],http://144.0.57.58:7004/udp/239.21.1.119:5002$山东电信
财富天下[1920x1080],http://144.0.57.58:7004/udp/239.21.1.127:5002$山东电信
济南教育[1920x1080],http://144.0.57.58:7004/udp/239.21.1.133:5002$山东电信
山东齐鲁[1920x1080],http://144.0.57.58:7004/udp/239.21.1.134:5002$山东电信
山东新闻[1920x1080],http://144.0.57.58:7004/udp/239.21.1.140:5002$山东电信
济宁生活[720x576],http://144.0.57.58:7004/udp/239.21.1.139:5002$山东电信
山东体育休闲[1920x1080],http://144.0.57.58:7004/udp/239.21.1.141:5002$山东电信
宁阳综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.1.143:5002$山东电信
宁阳-2[720x576],http://144.0.57.58:7004/udp/239.21.1.144:5002$山东电信
济南鲁中[720x576],http://144.0.57.58:7004/udp/239.21.1.149:5002$山东电信
山东生活[1920x1080],http://144.0.57.58:7004/udp/239.21.1.175:5002$山东电信
文登[1920x1080],http://144.0.57.58:7004/udp/239.21.1.174:5002$山东电信
北京纪实科教[1920x1080],http://144.0.57.58:7004/udp/239.21.1.172:5002$山东电信
寿光综合[720x576],http://144.0.57.58:7004/udp/239.21.1.180:5002$山东电信
山东文旅[1920x1080],http://144.0.57.58:7004/udp/239.21.1.176:5002$山东电信
山东综艺[1920x1080],http://144.0.57.58:7004/udp/239.21.1.177:5002$山东电信
惠民综合频道[720x576],http://144.0.57.58:7004/udp/239.21.1.181:5002$山东电信
济阳综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.187:5002$山东电信
乐陵综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.193:5002$山东电信
烟台经济科技[1920x1080],http://144.0.57.58:7004/udp/239.21.1.205:5002$山东电信
烟台影视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.204:5002$山东电信
9画面[1920x1080],http://144.0.57.58:7004/udp/239.21.1.203:5002$山东电信
新泰综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.1.210:5002$山东电信
山东少儿[1920x1080],http://144.0.57.58:7004/udp/239.21.1.208:5002$山东电信
无棣综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.214:5002$山东电信
莘县综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.211:5002$山东电信
诸城综合[720x576],http://144.0.57.58:7004/udp/239.21.1.217:5002$山东电信
曲阜综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.225:5002$山东电信
栖霞综合[720x576],http://144.0.57.58:7004/udp/239.21.1.229:5002$山东电信
沾化综合[720x576],http://144.0.57.58:7004/udp/239.21.1.226:5002$山东电信
齐河综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.230:5002$山东电信
平度-1[1920x1080],http://144.0.57.58:7004/udp/239.21.1.228:5002$山东电信
青州综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.232:5002$山东电信
频道_233[1920x1080],http://144.0.57.58:7004/udp/239.21.1.233:5002$山东电信
邹平综合频道[1920x1080],http://144.0.57.58:7004/udp/239.21.1.238:5002$山东电信
昌乐综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.245:5002$山东电信
定陶-1[1920x1080],http://144.0.57.58:7004/udp/239.21.1.244:5002$山东电信
新泰乡村[1920x1080],http://144.0.57.58:7004/udp/239.21.1.248:5002$山东电信
冠县综合频道1[720x576],http://144.0.57.58:7004/udp/239.21.1.250:5002$山东电信
东明综合[720x576],http://144.0.57.58:7004/udp/239.21.1.246:5002$山东电信
莱西综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.247:5002$山东电信
郓城综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.251:5002$山东电信
阳信综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.252:5002$山东电信
聊城综合[1920x1080],http://144.0.57.58:7004/udp/239.21.1.253:5002$山东电信

