海南电信-组播1,#genre#
精选电影,http://223.198.241.13:4000/udp/239.253.64.224:5140$海南电信
CCTV1,http://223.198.241.13:4000/udp/239.253.64.12:5140$海南电信
CCTV2,http://223.198.241.13:4000/udp/239.253.64.13:5140$海南电信
CCTV4,http://223.198.241.13:4000/udp/239.253.64.15:5140$海南电信
CCTV5,http://223.198.241.13:4000/udp/239.253.64.23:5140$海南电信
CCTV7,http://223.198.241.13:4000/udp/239.253.64.16:5140$海南电信
CCTV9,http://223.198.241.13:4000/udp/239.253.64.242:5140$海南电信
CCTV10,http://223.198.241.13:4000/udp/239.253.64.18:5140$海南电信
CCTV11,http://223.198.241.13:4000/udp/239.253.64.19:5140$海南电信
CCTV12,http://223.198.241.13:4000/udp/239.253.64.20:5140$海南电信
CCTV13,http://223.198.241.13:4000/udp/239.253.64.21:5140$海南电信
CCTV14,http://223.198.241.13:4000/udp/239.253.64.22:5140$海南电信
CCTV17,http://223.198.241.13:4000/udp/239.253.64.53:5140$海南电信
CETV1,http://223.198.241.13:4000/udp/239.253.64.252:5140$海南电信
CGTN,http://223.198.241.13:4000/udp/239.253.64.17:5140$海南电信
重庆卫视,http://223.198.241.13:4000/udp/239.253.64.35:5140$海南电信
江苏卫视,http://223.198.241.13:4000/udp/239.253.64.27:5140$海南电信
浙江卫视,http://223.198.241.13:4000/udp/239.253.64.28:5140$海南电信
东方卫视,http://223.198.241.13:4000/udp/239.253.64.25:5140$海南电信
深圳卫视,http://223.198.241.13:4000/udp/239.253.64.145:5140$海南电信
北京卫视,http://223.198.241.13:4000/udp/239.253.64.24:5140$海南电信
山东卫视,http://223.198.241.13:4000/udp/239.253.64.30:5140$海南电信
天津卫视,http://223.198.241.13:4000/udp/239.253.64.40:5140$海南电信
贵州卫视,http://223.198.241.13:4000/udp/239.253.64.47:5140$海南电信
黑龙江卫视,http://223.198.241.13:4000/udp/239.253.64.42:5140$海南电信
安徽卫视,http://223.198.241.13:4000/udp/239.253.64.29:5140$海南电信
江西卫视,http://223.198.241.13:4000/udp/239.253.64.34:5140$海南电信
湖北卫视,http://223.198.241.13:4000/udp/239.253.64.33:5140$海南电信
海南卫视,http://223.198.241.13:4000/udp/239.253.64.5:5140$海南电信
东南卫视,http://223.198.241.13:4000/udp/239.253.64.43:5140$海南电信
吉林卫视,http://223.198.241.13:4000/udp/239.253.64.142:5140$海南电信
辽宁卫视,http://223.198.241.13:4000/udp/239.253.64.41:5140$海南电信
湖南卫视,http://223.198.241.13:4000/udp/239.253.64.32:5140$海南电信
广东卫视,http://223.198.241.13:4000/udp/239.253.64.44:5140$海南电信
河南卫视,http://223.198.241.13:4000/udp/239.253.64.38:5140$海南电信
河北卫视,http://223.198.241.13:4000/udp/239.253.64.39:5140$海南电信
宁夏卫视,http://223.198.241.13:4000/udp/239.253.64.89:5140$海南电信
甘肃卫视,http://223.198.241.13:4000/udp/239.253.64.140:5140$海南电信
新疆卫视,http://223.198.241.13:4000/udp/239.253.64.146:5140$海南电信
西藏卫视,http://223.198.241.13:4000/udp/239.253.64.143:5140$海南电信
兵团卫视,http://223.198.241.13:4000/udp/239.253.64.178:5140$海南电信
三沙卫视,http://223.198.241.13:4000/udp/239.253.64.113:5140$海南电信
海南自贸,http://223.198.241.13:4000/udp/239.253.64.1:5140$海南电信
海南新闻,http://223.198.241.13:4000/udp/239.253.64.11:5140$海南电信
海南社会与法,http://223.198.241.13:4000/udp/239.253.64.2:5140$海南电信
海南文旅,http://223.198.241.13:4000/udp/239.253.64.3:5140$海南电信
海南少儿,http://223.198.241.13:4000/udp/239.253.64.4:5140$海南电信
